
Intensity Sum Ch=1 Img=1
 ==================== 
Time [s],Intensity Sum::1000000044::0,Intensity Sum::1000000055::0,Intensity Sum::1000000089::0,Intensity Sum::1000000093::0,Intensity Sum::1000000094::0,Intensity Sum::1000000096::0,Intensity Sum::1000000097::0,Intensity Sum::1000000099::0,Intensity Sum::1000000100::0,Intensity Sum::1000000105::0,Intensity Sum::1000000106::0,Intensity Sum::1000000108::0,Intensity Sum::1000000109::0,Intensity Sum::1000000118::0,Intensity Sum::1000000121::0,Intensity Sum::1000000123::0,Intensity Sum::1000000124::0,Intensity Sum::1000000125::0,Intensity Sum::1000000127::0,Intensity Sum::1000000128::0,Intensity Sum::1000000135::0,Intensity Sum::1000000137::0,Intensity Sum::1000000140::0,Intensity Sum::1000000143::0,Intensity Sum::1000000144::0,Intensity Sum::1000000145::0,Intensity Sum::1000000148::0,Intensity Sum::1000000150::0,Intensity Sum::1000000152::0,Intensity Sum::1000000153::0,Intensity Sum::1000000155::0,Intensity Sum::1000000163::0,Intensity Sum::1000000164::0,Intensity Sum::1000000166::0,Intensity Sum::1000000167::0,Intensity Sum::1000000173::0,Intensity Sum::1000000174::0,Intensity Sum::1000000175::0,Intensity Sum::1000000176::0,Intensity Sum::1000000177::0,Intensity Sum::1000000178::0,Intensity Sum::1000000182::0,Intensity Sum::1000000186::0,Intensity Sum::1000000190::0,Intensity Sum::1000000192::0,Intensity Sum::1000000194::0,Intensity Sum::1000000196::0,Intensity Sum::1000000198::0,Intensity Sum::1000000199::0,Intensity Sum::1000000202::0,Intensity Sum::1000000203::0,Intensity Sum::1000000206::0,Intensity Sum::1000000212::0,Intensity Sum::1000000217::0,Intensity Sum::1000000218::0,Intensity Sum::1000000219::0,Intensity Sum::1000000220::0,Intensity Sum::1000000224::0,Intensity Sum::1000000227::0,Intensity Sum::1000000231::0,Intensity Sum::1000000232::0,Intensity Sum::1000000235::0,Intensity Sum::1000000240::0,Intensity Sum::1000000250::0,Intensity Sum::1000000259::0,Intensity Sum::1000000267::0,Intensity Sum::1000000283::0,Intensity Sum::1000000498::0,Intensity Sum::1000000560::0,Intensity Sum::1000001049::0,Intensity Sum::1000159177::0,Intensity Sum::1000159244::0,Intensity Sum::1000159605::0,Intensity Sum::1000159705::0,Intensity Sum::1000160175::0,Intensity Sum::1000160809::0,Intensity Sum::1000161110::0,Intensity Sum::1000161579::0,Intensity Sum::1000161582::0,Intensity Sum::1000162288::0,Intensity Sum::1000162458::0,Intensity Sum::1000163287::0,Intensity Sum::1000164876::0,Intensity Sum::1000165080::0,Intensity Sum::1000165144::0,Intensity Sum::1000165704::0,Intensity Sum::1000166112::0,Intensity Sum::1000166767::0,Intensity Sum::1000166853::0,Intensity Sum::1000166876::0,Intensity Sum::1000167341::0,Intensity Sum::1000167371::0,Intensity Sum::1000167669::0,Intensity Sum::1000168050::0,Intensity Sum::1000169731::0,Intensity Sum::1000169820::0,Intensity Sum::1000170422::0,Intensity Sum::1000171132::0,Intensity Sum::1000171701::0,Intensity Sum::1000171724::0,Intensity Sum::1000171751::0,Intensity Sum::1000172408::0,Intensity Sum::1000173158::0,Intensity Sum::1000173583::0,Intensity Sum::1000176344::0,Intensity Sum::1000176487::0,Intensity Sum::1000177114::0,Intensity Sum::1000177409::0,Intensity Sum::1000178187::0,Intensity Sum::1000179876::0,Intensity Sum::1000180206::0,Intensity Sum::1000180392::0,Intensity Sum::1000180403::0,Intensity Sum::1000181625::0,Intensity Sum::1000181693::0,Intensity Sum::1000181973::0,Intensity Sum::1000182079::0,Intensity Sum::1000182170::0,Intensity Sum::1000182636::0,Intensity Sum::1000182982::0,Intensity Sum::1000186102::0,Intensity Sum::1000187154::0,Intensity Sum::1000187633::0,Intensity Sum::1000188084::0,Intensity Sum::1000189130::0,Intensity Sum::1000189516::0,Intensity Sum::1000189548::0,Intensity Sum::1000189622::0,Intensity Sum::1000191126::0,Intensity Sum::1000191330::0,Intensity Sum::1000191653::0,Intensity Sum::1000192518::0,Intensity Sum::1000193105::0,Intensity Sum::1000193637::0,Intensity Sum::1000195548::0,Intensity Sum::1000195666::0,Intensity Sum::1000197641::0,Intensity Sum::1000198065::0,Intensity Sum::1000199240::0,Intensity Sum::1000200832::0,Intensity Sum::1000201571::0,Intensity Sum::1000202768::0,Intensity Sum::1000203022::0,Intensity Sum::1000203028::0,Intensity Sum::1000203045::0,Intensity Sum::1000203149::0,Intensity Sum::1000203719::0,Intensity Sum::1000203934::0,Intensity Sum::1000204368::0,Intensity Sum::1000205582::0,Intensity Sum::1000206506::0,Intensity Sum::1000206831::0,Intensity Sum::1000206967::0,Intensity Sum::1000207075::0,Intensity Sum::1000207637::0,Intensity Sum::1000207796::0,Intensity Sum::1000209150::0,Intensity Sum::1000209214::0,Intensity Sum::1000209440::0,
0.000000,219655,173880,139622,145073,152599,151388,172691,153296,187310,118159,235671,228848,184779,190028,181911,181925,226200,214504,227785,306538,180028,180977,220417,184028,167085,156390,257516,199247,319422,167140,170682,203374,199549,203853,261053,214200,185778,333124,216157,201780,201204,163558,211169,198631,360415,235138,199145,177903,182736,169841,235788,188777,220468,132706,200256,224684,158701,179505,159133,252502,259854,243742,172569,334065,203034,234215,137252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.777000,231836,168542,136169,149727,152811,156575,171874,150604,177529,122174,241656,218863,187055,191749,201884,182563,214878,212057,230428,332602,208068,169025,222041,181560,168342,163523,262387,207388,352327,161710,171836,207410,206435,206791,269570,223850,191094,333096,223478,200054,200084,164160,207321,196843,359128,235171,193963,182538,186217,170559,240363,199860,222376,133643,196429,217199,156068,187679,171109,264023,263064,260153,160343,338216,211427,235141,133455,126330,195835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.555000,216567,169396,140176,152540,153888,148677,169122,153053,191687,120694,232635,231563,176124,191697,187011,188097,228721,239917,216816,302002,184704,178620,232139,188622,166747,157148,268055,196815,380274,165404,168121,213788,210262,204796,269604,214071,196689,352173,219350,199857,210006,168248,204021,,380390,246694,209175,184585,192465,163711,249164,186827,219365,136044,200335,213744,158052,185500,174069,259330,259213,256685,178009,329086,209738,239292,138125,123755,192819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.333000,220104,170404,140117,145454,152841,152032,176514,149222,183383,,240293,223583,179055,199418,198911,181145,225187,227274,233067,322434,190233,178158,217810,193306,171217,167876,269477,199982,352960,160668,170474,206075,211595,198828,269784,214093,194423,343835,222624,203634,204647,172822,202797,192142,367639,242884,198855,175126,189684,175212,244253,184655,218393,135553,203256,227771,155179,185605,169689,258527,258749,246822,173570,322493,213189,232523,131766,126977,190859,182610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.111000,208170,173278,138355,144627,153202,154494,175984,148448,183678,126247,230479,234894,167113,195049,188309,186093,225866,236159,220176,314110,185033,173830,228418,194859,172876,158132,258060,198328,341524,175618,173480,203940,212790,207742,264550,211922,196726,348126,220699,196339,206458,167941,209172,193195,374363,247282,204105,179849,189292,162764,240815,191274,227531,144501,201469,227593,160286,197129,172582,249187,256764,239992,170294,339206,206240,236813,127894,130008,198183,180892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.889000,217363,166908,141221,152379,148146,147693,170787,151587,205586,121789,227990,236978,171147,189152,187416,181224,234754,234651,213898,304239,183688,166091,233644,196505,166464,164207,266257,202944,331192,172006,165074,214889,208070,205664,270235,,196532,365787,229419,204566,211008,172121,207983,202089,373710,240747,211103,181696,180427,165979,248245,192293,235257,,205363,212635,154702,193448,,250474,270269,250689,171278,338823,208243,235468,134265,127405,203851,197011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.667000,211194,174740,141920,147851,150085,155839,181729,152332,189162,126466,240488,234721,168680,191904,188202,186541,234673,235820,227280,302879,189309,175274,222688,185826,160341,159216,254939,206916,342208,174031,172899,204408,204310,199895,265107,213431,188452,367545,222342,207920,211450,179789,209431,193673,369026,239299,209026,191456,182912,166108,249372,190509,226156,,204740,214196,150219,185191,176853,249478,252045,247321,166054,334149,204820,238282,132316,127260,206085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.445000,201170,172044,143029,142110,150634,150555,183560,156179,189139,127100,235054,240344,,189847,184429,182264,234862,243738,214957,297196,187740,174596,239120,191104,170532,166202,257067,207781,337600,173183,165268,208991,214063,201540,263370,,199703,358375,231502,201084,206531,181848,210849,196731,363789,238689,205644,182491,185787,164493,259491,192781,229328,150575,200498,222407,152858,186193,177442,251288,250436,243053,180412,322679,208695,245340,135642,132052,209936,195195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.223000,203221,175214,145226,146485,148304,147977,169359,154350,183437,125946,226146,239823,166927,194212,175739,181441,238781,235437,216875,300662,182765,173822,232105,185104,167243,165068,258248,201182,343266,179671,176754,210969,203976,202298,268754,219048,190616,355920,231183,199482,209136,178388,204327,,366510,244064,200529,187930,179070,164020,253967,186197,232368,155057,190819,229236,161725,181263,178666,247557,254018,246843,177026,341743,213026,244259,137756,,203556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.000999,211323,181747,136573,142765,152348,154371,180848,150173,166855,121474,233716,217036,164721,195620,181739,182808,220545,228260,236601,321944,201978,176132,227300,179513,171790,170276,251361,214798,361864,171965,177526,210217,219243,207935,278420,221278,205115,345190,222548,196619,209672,178986,208273,,362328,236580,204465,194322,181453,165901,253381,187550,217112,157681,196590,222085,153561,184410,174342,244387,242452,241929,187499,341749,207164,246120,135148,123407,187438,,158782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
